Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week
ONVC,Online Vacation Center Holdings Corp.,2.1,USD,-15.999999999999998,1500,1.1893434823977165,30785998,USD,,Consumer services,No rating,2.2218729868469413,2.211223413626022,2.178999967846873,-14.285714285714288
FLUX,"Flux Power Holdings, Inc.",1.44,USD,-5.8823529411764754,108147,0.22702239743561486,30729794.82352941,USD,42.09940652818992,Producer manufacturing,Strong buy,1.4291648294579629,1.546155732053657,1.720731665933633,-1.3698630136986314
EFSG,"Enterprise Financial Services Group, Inc.",26.37,USD,-1.933804388248418,400,0.7765482430596,30696102.95734072,USD,2.107307776881905,Finance,No rating,25.588069240747505,24.453010516899127,23.00212599422604,-1.9702602230483184
EUDA,Euda Health Holdings Limited,0.8091,USD,-7.2558459422283255,62058,2.459437394481742,30590040.830467682,USD,,Health services,No rating,1.2137093063058753,1.5003269084752646,1.8152421396518723,-12.149837133550488
FBPA,Farmers Bank of Appomattox (VA),28.2,USD,0.5706134094151218,201,0.36053811659192825,30568799.037871037,USD,16.05523495465787,Finance,No rating,27.051959667938057,26.66750568636619,26.198081172044944,0
SWAG,"Stran & Company, Inc.",1.67,USD,-1.764705882352943,24598,0.5403790430119574,30541225.235294122,USD,48.493975903614455,Commercial services,No rating,1.7993131239884286,1.8310460790971685,1.8257386439210668,-2.9069767441860495
RNXT,"RenovoRx, Inc.",0.8332,USD,-5.51145384440916,330057,1.852769552465021,30536708.188704927,USD,37.88885005242923,Health technology,Strong buy,0.9205881412770787,0.9430903047262831,0.9742832146217517,-4.229885057471258
TOON,"Kartoon Studios, Inc.",0.5638,USD,0.26676151520539676,80153,0.19735031114442153,30392033.549706556,USD,46.17574864997545,Consumer services,No rating,0.6467992334942142,0.6718054407818232,0.6919926254669657,-0.9138840070298739
CIF,MFS Intermediate High Income Fund,1.67,USD,-1.4749262536873233,84582,3.025215494116385,30343890,USD,-37.21739130434783,Miscellaneous,No rating,1.6998549931220983,1.7068928922674549,1.7137602959003453,-2.3391812865497097
TPST,"Tempest Therapeutics, Inc.",2.25,USD,1.3513513513513424,144920,1.477897819866161,30332409.12162162,USD,49.43468751407651,Health technology,Strong buy,2.6078433087838664,3.181119401530767,4.144497523536159,1.8099547511312233
PSQH,"PSQ Holdings, Inc.",0.61,USD,-3.174603174603177,204816,0.5762056893616206,30320854.619047616,USD,62.36668088737202,Retail trade,Strong buy,0.8014490467372539,0.9440021852439258,1.1458618655357662,-3.861308116627261
LTRN,Lantern Pharma Inc.,2.71,USD,1.1194029850746194,29650,0.4269860973902725,30309785.68283582,USD,1.1840324763193577,Health technology,Strong buy,2.9009670154370113,3.0594659261565207,3.2450947083254906,-2.8673835125448055
UG,"United-Guardian, Inc.",6.59,USD,1.54083204930662,1186,0.23325794080047202,30276559.86440678,USD,-43.757415952537905,Process industries,No rating,6.65352653621999,6.654337067592454,6.783733518079474,-1.9345238095238078
RNTX,"Rein Therapeutics, Inc.",1.15,USD,-3.361344537815129,45101,0.4574295665367771,30229341.63865546,USD,15.353989404398785,Health technology,Neutral,1.1978866966714679,1.2343944866805097,1.2841771711722765,-0.8620689655172422
VNTG,Vantage Corp,0.95,USD,-0.492301246464862,482704,5.779827169392913,30150624.75123075,USD,,Transportation,No rating,0.901281683361242,1.0488504161750232,1.5227487486916664,30.136986301369863
MDBH,"MDB Capital Holdings, LLC",2.97,USD,-4.150261408377965,25678,3.843091475095785,30111735.971083716,USD,,Finance,No rating,3.1916426885139915,3.2774791312462432,3.411257117085756,-2.9411764705882306
RITE,MineralRite Corporation,0.0066,USD,-1.4925373134328397,5821526,0.7376989082206296,30061526.32835821,USD,-100,Energy minerals,No rating,0.007562092386148715,0.00781960891240189,0.007826291436216463,-17.5
CVM,Cel-Sci Corporation,3.55,USD,-7.3107049608355155,53250,1.0253971127128045,30025781.357702345,USD,63.57039084369796,Health technology,No rating,4.725398427868961,5.177040765091507,5.7533084351120065,-14.868105515587532
GAME,"GameSquare Holdings, Inc.",0.3047,USD,-0.7491856677524328,1006755,0.7809829141878776,29976621.224429972,USD,77.61675410682034,Miscellaneous,Strong buy,0.3482024148798607,0.3932489820465364,0.46184381112916756,5.068965517241396
TETAA,"Alpha G Investment Management, Inc. ",15.8,USD,0.317460317460322,600,0.7821666014861165,29774003,USD,-219.68823070927516,Finance,No rating,15.547478108528571,15.421710916324091,15.20724109288319,0.317460317460322
PRZO,ParaZero Technologies Ltd.,1.34,USD,2.2900763358778646,1424244,1.4178146359702657,29713646.90076336,USD,-87.21859114015976,Electronic technology,No rating,1.211509083282159,1.226623868613262,1.2574383953301946,-0.7407407407407414
ZNB,Zeta Network Group,0.2029,USD,-13.475479744136457,1185980,0.37696428403421905,29680142.780383795,USD,73.90344572216165,Technology services,No rating,0.4101683608628607,0.7565887099620431,3.537328482198821,-17.654220779220783
PSHG,Performance Shipping Inc.,2.38,USD,0.42194092827003316,1078102,8.669251113507393,29588535.57805907,USD,21.511068334937452,Transportation,Strong buy,2.2161052923315934,2.182138920717288,2.133442218735375,3.478260869565221
NEON,Neonode Inc.,1.76,USD,-2.222222222222224,81226,0.7586648783349087,29537943.111111116,USD,,Electronic technology,No rating,1.8549989724684908,2.245654863402254,3.4023427558031023,-2.7624309392265216
YSXT,"YSX Tech. Co., Ltd",1.26,USD,1.6129032258064528,291215,0.7904665738350584,29531251.01612903,USD,,Finance,No rating,1.2500005274321178,1.4004472311906753,1.690591546407806,12.499999999999991
HSPOF,Horizon Space Acquisition I Corp.,12.27,USD,-0.0814332247556986,109,0.35609278013721,29499950.698036008,USD,-54.23317140874393,Finance,No rating,12.22267299526072,12.242090409360918,12.246559164898972,-0.0814332247556986
NAMI,Jinxin Technology Holding Company,0.449,USD,4.1521688703317166,9121,0.7462405707459951,29473095,USD,,Technology services,No rating,0.5428274535463692,0.6079497733585617,0.7267683086067331,1.7448447767958268
PRKA,"Parks! America, Inc.",39.11,USD,0,646,0.7186561352764486,29472397.12480974,USD,,Consumer services,No rating,39.68855712148235,54.1770317679752,165.70782709329606,0
